Iteration,A,R,sdvig,polojenie
558,2.5,10.5,30,10.0
559,2.5,10.5,30,12.5
560,2.5,10.5,30,15.0
561,2.5,10.5,30,17.5
562,2.5,10.5,30,20.0
563,2.5,10.5,30,22.5
564,2.5,10.5,30,25.0
565,2.5,10.5,30,27.5
566,2.5,10.5,30,30.0
567,2.5,10.5,30,32.5
568,2.5,10.5,30,35.0
569,2.5,10.5,30,37.5
570,2.5,10.5,30,40.0
571,2.5,10.5,30,42.5
572,2.5,10.5,30,45.0
573,2.5,10.5,30,47.5
574,2.5,10.5,30,50.0
575,2.5,10.5,40,-50.0
576,2.5,10.5,40,-47.5
577,2.5,10.5,40,-45.0
578,2.5,10.5,40,-42.5
579,2.5,10.5,40,-40.0
580,2.5,10.5,40,-37.5
581,2.5,10.5,40,-35.0
582,2.5,10.5,40,-32.5
583,2.5,10.5,40,-30.0
584,2.5,10.5,40,-27.5
585,2.5,10.5,40,-25.0
586,2.5,10.5,40,-22.5
587,2.5,10.5,40,-20.0
588,2.5,10.5,40,-17.5
589,2.5,10.5,40,-15.0
590,2.5,10.5,40,-12.5
591,2.5,10.5,40,-10.0
592,2.5,10.5,40,-7.5
593,2.5,10.5,40,-5.0
594,2.5,10.5,40,-2.5
595,2.5,10.5,40,0.0
596,2.5,10.5,40,2.5
597,2.5,10.5,40,5.0
598,2.5,10.5,40,7.5
599,2.5,10.5,40,10.0
600,2.5,10.5,40,12.5
601,2.5,10.5,40,15.0
602,2.5,10.5,40,17.5
603,2.5,10.5,40,20.0
604,2.5,10.5,40,22.5
605,2.5,10.5,40,25.0
606,2.5,10.5,40,27.5
607,2.5,10.5,40,30.0
608,2.5,10.5,40,32.5
609,2.5,10.5,40,35.0
610,2.5,10.5,40,37.5
611,2.5,10.5,40,40.0
612,2.5,10.5,40,42.5
613,2.5,10.5,40,45.0
614,2.5,10.5,40,47.5
615,2.5,10.5,40,50.0
616,2.5,10.5,50,-50.0
617,2.5,10.5,50,-47.5
618,2.5,10.5,50,-45.0
619,2.5,10.5,50,-42.5
620,2.5,10.5,50,-40.0
621,2.5,10.5,50,-37.5
622,2.5,10.5,50,-35.0
623,2.5,10.5,50,-32.5
624,2.5,10.5,50,-30.0
625,2.5,10.5,50,-27.5
626,2.5,10.5,50,-25.0
627,2.5,10.5,50,-22.5
628,2.5,10.5,50,-20.0
629,2.5,10.5,50,-17.5
630,2.5,10.5,50,-15.0
631,2.5,10.5,50,-12.5
632,2.5,10.5,50,-10.0
633,2.5,10.5,50,-7.5
634,2.5,10.5,50,-5.0
635,2.5,10.5,50,-2.5
636,2.5,10.5,50,0.0
637,2.5,10.5,50,2.5
638,2.5,10.5,50,5.0
639,2.5,10.5,50,7.5
640,2.5,10.5,50,10.0
641,2.5,10.5,50,12.5
642,2.5,10.5,50,15.0
643,2.5,10.5,50,17.5
644,2.5,10.5,50,20.0
645,2.5,10.5,50,22.5
646,2.5,10.5,50,25.0
647,2.5,10.5,50,27.5
648,2.5,10.5,50,30.0
649,2.5,10.5,50,32.5
650,2.5,10.5,50,35.0
651,2.5,10.5,50,37.5
652,2.5,10.5,50,40.0
653,2.5,10.5,50,42.5
654,2.5,10.5,50,45.0
655,2.5,10.5,50,47.5
656,2.5,10.5,50,50.0
657,2.5,10.5,60,-50.0
658,2.5,10.5,60,-47.5
659,2.5,10.5,60,-45.0
660,2.5,10.5,60,-42.5
661,2.5,10.5,60,-40.0
662,2.5,10.5,60,-37.5
663,2.5,10.5,60,-35.0
664,2.5,10.5,60,-32.5
665,2.5,10.5,60,-30.0
666,2.5,10.5,60,-27.5
667,2.5,10.5,60,-25.0
668,2.5,10.5,60,-22.5
669,2.5,10.5,60,-20.0
670,2.5,10.5,60,-17.5
671,2.5,10.5,60,-15.0
672,2.5,10.5,60,-12.5
673,2.5,10.5,60,-10.0
674,2.5,10.5,60,-7.5
675,2.5,10.5,60,-5.0
676,2.5,10.5,60,-2.5
677,2.5,10.5,60,0.0
678,2.5,10.5,60,2.5
679,2.5,10.5,60,5.0
680,2.5,10.5,60,7.5
681,2.5,10.5,60,10.0
682,2.5,10.5,60,12.5
683,2.5,10.5,60,15.0
684,2.5,10.5,60,17.5
685,2.5,10.5,60,20.0
686,2.5,10.5,60,22.5
687,2.5,10.5,60,25.0
688,2.5,10.5,60,27.5
689,2.5,10.5,60,30.0
690,2.5,10.5,60,32.5
691,2.5,10.5,60,35.0
692,2.5,10.5,60,37.5
693,2.5,10.5,60,40.0
694,2.5,10.5,60,42.5
695,2.5,10.5,60,45.0
